data,model,seq_len,pred_len,lr,mse,mae,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout
nfbnfinal,tsmixer_rev_in,336,96,0.0001,2.5904464721679688,0.8887435793876648,0.04872569441795349,0.1704172044992447,0.029779989272356033,0.13242599368095398,581.2129545211792,B,relu,2,0.05
nfbnfinal,tsmixer_rev_in,6,1,0.0001,0.03395630419254303,0.025631694123148918,0.001454013166949153,0.028677983209490776,0.001392544712871313,0.025347614660859108,45.0491144657135,B,relu,2,0.4
nfbnfinal,tsmixer_rev_in,6,1,0.0001,0.027902010828256607,0.020580647513270378,0.0011037683580070734,0.024783441796898842,0.0010500940261408687,0.02231035940349102,118.80363154411316,B,relu,8,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.028023632243275642,0.02103240415453911,0.0011200910666957498,0.025516917929053307,0.000954213144723326,0.021622078493237495,206.49652528762817,B,relu,8,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.026416843757033348,0.018995989114046097,0.0010395552963018417,0.02404228411614895,0.0009314610506407917,0.020782556384801865,39.56250190734863,B,relu,2,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.026416843757033348,0.018995989114046097,0.0010395552963018417,0.02404228411614895,0.0009314610506407917,0.020782556384801865,36.57882118225098,B,relu,2,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.026416843757033348,0.018995989114046097,0.0010395552963018417,0.02404228411614895,0.0009314610506407917,0.020782556384801865,37.65891218185425,B,relu,2,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.026416843757033348,0.018995989114046097,0.0010395552963018417,0.02404228411614895,0.0009314610506407917,0.020782556384801865,41.192612171173096,B,relu,2,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.026416843757033348,0.018995989114046097,0.0010395552963018417,0.02404228411614895,0.0009314610506407917,0.020782556384801865,37.195274353027344,B,relu,2,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.026416843757033348,0.018995989114046097,0.0010395552963018417,0.02404228411614895,0.0009314610506407917,0.020782556384801865,21.666605472564697,B,relu,2,0.3
nfbnfinal,tsmixer_rev_in,5,1,0.0001,0.026416843757033348,0.018995989114046097,0.0010395552963018417,0.02404228411614895,0.0009314610506407917,0.020782556384801865,53.09763050079346,B,relu,2,0.3
non_normalized,tsmixer_rev_in,5,1,0.0001,0.02784082479774952,0.020941613242030144,0.0011012067552655935,0.025273028761148453,0.0009893153328448534,0.021635927259922028,208.71681213378906,B,relu,8,0.3
non_normalized,tsmixer_rev_in,5,1,0.0001,0.025406423956155777,0.018187390640378,0.0009830511407926679,0.023521125316619873,0.0008098022663034499,0.019284166395664215,73.14064931869507,B,relu,2,0.3
non_normalized,tsmixer_rev_in,6,1,0.0001,0.027445213869214058,0.020380787551403046,0.0010733333183452487,0.024367673322558403,0.0009655500180087984,0.02150854654610157,250.51373100280762,B,relu,8,0.3
