,0
0,103.63481432061384
1,103.35984681211826
2,101.87206287719383
3,101.7316186987844
4,101.71375264248026
5,101.13771724253955
6,101.17983600447556
7,101.822957100191
8,101.28742050980416
9,101.60827976837184
10,101.00220020364388
11,100.49889704276524
12,99.87576398570756
13,100.3075252878689
14,100.94943012540604
15,101.76710755975704
16,100.92417853539794
17,100.48207127537103
18,100.07804583524154
19,98.60497086092441
20,98.57370526239215
21,98.46457326261543
22,98.45886978809423
23,99.1812288102339
24,100.54166275054077
25,100.26026718818375
26,102.04154198488085
27,101.43171013428369
28,99.58513003676221
29,99.30924127739115
30,99.41406720566005
31,98.64673768432374
32,98.34952041451542
33,98.09504297464908
34,97.715151202117
35,98.94857155964284
36,99.7551111744207
37,99.67377714347641
38,99.09884931481297
39,98.67292605190745
40,98.48374356173204
41,98.32757601163895
42,98.88576605754238
43,99.92395368740164
44,99.77432805363776
45,99.45928613205903
46,99.17432460423457
47,98.89716265545133
48,98.8194670479085
49,99.24630638612277
50,99.74997183667155
51,98.48761488563572
52,97.8957111981433
53,97.95026167133152
54,98.19353918482412
55,97.71996447916302
56,98.03250142645113
57,98.40969155315737
58,98.69090597067935
59,99.16785514583938
60,100.04571924553248
61,100.2906374136741
62,100.52445399120958
63,98.96874074313567
64,98.71081120026966
65,97.95815958614035
66,97.50208864711328
67,96.8926035594861
68,96.60575812537695
69,97.26325176986313
70,97.76548876399826
71,98.6001317060448
72,98.66507989276576
73,99.33240711401263
74,99.83846367638428
75,100.31512819537491
76,99.87101799102886
77,99.32414690953365
78,99.15548554138778
79,98.55648615192752
80,98.57677437345482
81,98.88482927996675
82,98.70500421441415
83,98.37311582317436
84,97.45056588045401
85,96.7736379829487
86,96.52839375410396
87,96.36223736024871
88,95.2163875915601
89,93.83899331912441
90,93.74683717817666
91,93.64338795065427
92,92.72348272252587
93,92.48095049064041
94,91.97807690179918
95,91.92369722231263
96,92.25808023670959
97,93.45637402293293
98,92.14577043896914
99,92.40410367603903
100,91.55061649557898
101,90.52031642939514
102,90.54694989571644
103,90.23545323733828
104,90.38882598140465
105,90.59919724171597
106,90.02194040803025
107,90.52519698880847
108,90.25389895711464
109,90.80807793881304
110,90.79907245272695
111,90.10359532411093
112,89.94689469064608
113,88.89226946089636
114,89.18876215136439
115,90.0787836572737
116,90.84064778015777
117,89.78372459878605
118,90.13651192842563
119,89.43366996837256
120,89.21415865724053
121,89.15573686014865
122,89.5365550591229
123,90.46597815444228
124,91.4097323939987
125,92.98461594118919
126,93.8853974503014
127,93.98105744991601
128,95.03497880259235
129,94.52335333043413
130,94.85858513777255
131,94.30319507346256
132,92.9167953149408
133,88.27178111843062
134,89.53884783517816
135,89.19250408610016
136,89.62555927994053
137,87.78776729470306
138,87.84397394924044
139,87.52385997227988
140,87.3279492453735
141,87.46446516864535
142,86.16721972237595
143,86.11140123534227
144,87.09345466859821
145,87.8132931897471
146,87.25341590909423
147,87.06679532444332
148,87.50464309306281
149,87.34370884602417
150,88.11360544845168
151,89.26262266397055
152,89.66868210181946
153,89.72495086315743
154,88.4696999652229
155,88.9061037507286
156,88.993306874329
157,88.49881770356794
158,88.15170279504925
159,88.02511878430568
160,87.87203069640867
161,87.57094210269669
162,87.39300094342875
163,86.87698659069525
164,87.6724090881668
165,89.86786896245721
166,90.8427024801441
167,91.35883587091207
168,90.45108287343322
169,90.6237604813508
170,90.3192663647396
171,89.67986132592637
172,89.4571670412639
173,89.83715714956358
174,91.17011400617439
175,92.49716036559538
